ID,name,s4CuId,s4CuType,s4TaskListId,s4ObjNr
b061a2f3-4e3c-4c01-9ff8-f273256d0843,"TX, OH, 1Ph, 50kVA, 12/21, 120/240",EOH_TX_1_PH598620,"TX, OH, 1Ph, 50kVA, 12/21, 120/240",00003808,CU00000000000014012778
4743bd1d-a636-4881-8121-a4dbd271ddd6,"TX, OH, 1Ph, 50kVA, 12/21, 240/480",EOH_TX_1_PH598630,"TX, OH, 1Ph, 50kVA, 12/21, 240/480",00003809,CU00000000000014012779
67fefe23-9bb8-4192-b19e-d3d411fd4c18,"TX, OH, 1Ph, 50kVA, 2.4/4.2, 120/240",EOH_TX_1_PH598640,"TX, OH, 1Ph, 50kVA, 2.4/4.2, 120/240",00003810,CU00000000000014012780
21568439-22cb-480e-a229-9d30528e8d01,"TX, OH, 1Ph, 100kVA, 17kV, 120/240",EOH_TX_1_PH598870,"TX, OH, 1Ph, 100kVA, 17kV, 120/240",00003811,CU00000000000014012781
a3deab91-e1f5-466c-a7fc-90af7febf233,"TX, OH, 1Ph, 100kVA, 21kV, 120/240",EOH_TX_1_PH598890,"TX, OH, 1Ph, 100kVA, 21kV, 120/240",00003812,CU00000000000014012782
6241240a-134b-4571-b1b1-114a3c2f9191,"TX, OH, 1Ph, 100kVA, 4.2/7.2, 120/240",EOH_TX_1_PH598940,"TX, OH, 1Ph, 100kVA, 4.2/7.2, 120/240",00003813,CU00000000000014012783
260a8453-4660-4406-ae33-fdfec87f2373,"TX, OH, 1Ph, 100kVA, 2.4X4.8, 120/240",EOH_TX_1_PH598950,"TX, OH, 1Ph, 100kVA, 2.4X4.8, 120/240",00003814,CU00000000000014012784
0029be51-c55f-4195-9863-b0f17c3910e5,"TX, OH, 1Ph, 15kVA, 17kV, 120/240",EOH_TX_1_PH598990,"TX, OH, 1Ph, 15kVA, 17kV, 120/240",00003815,CU00000000000014012785
aac1cfd1-0aa9-40ab-996b-d27c7b21c9b4,"TX, OH, 1Ph, 15kVA, 17KV, 240/480",EOH_TX_1_PH599000,"TX, OH, 1Ph, 15kVA, 17KV, 240/480",00003816,CU00000000000014012786
8aa6e4a9-5a7b-43e2-9cad-b8a0ef849efc,"TX, OH, 1Ph, 15kVA, 21kV, 120/240",EOH_TX_1_PH599010,"TX, OH, 1Ph, 15kVA, 21kV, 120/240",00003817,CU00000000000014012787
3ffc9015-d5a6-4822-b63e-f8bbe1671f55,"TX, OH, 1Ph, 25kVA, 17kV, 120/240",EOH_TX_1_PH599270,"TX, OH, 1Ph, 25kVA, 17kV, 120/240",00003818,CU00000000000014012788
7360cc5e-8a1f-411d-a0b0-d5d588fded7b,"TX, OH, 1Ph, 25kVA, 17KV, 240/480V",EOH_TX_1_PH599280,"TX, OH, 1Ph, 25kVA, 17KV, 240/480V",00003819,CU00000000000014012789
